Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Notes
,46,No,,2,33.0,excellent
4.0,61,No,7.0,7,47.0,review
3.0,49,Yes,8.0,0,32.0,excellent
3.0,62,Yes,5.0,3,39.0,excellent
6.0,54,No,4.0,4,41.0,review
8.0,69,Yes,4.0,5,61.0,excellent
7.0,73,No,5.0,4,63.0,review
1.0,52,Yes,8.0,4,27.0,review
6.0,99,Yes,9.0,4,88.0,review
7.0,43,Yes,6.0,8,35.0,excellent
,57,Yes,9.0,9,48.0,excellent
9.0,95,Yes,5.0,9,95.0,excellent
5.0,62,Yes,6.0,2,48.0,excellent
,72,Yes,8.0,1,45.0,review
2.0,73,Yes,,9,49.0,review
4.0,73,No,7.0,1,57.0,excellent
5.0,75,No,9.0,7,61.0,excellent
9.0,74,Yes,8.0,4,75.0,review
1.0,56,Yes,6.0,4,26.0,review
3.0,67,Yes,9.0,5,47.0,review
5.0,53,No,5.0,8,37.0,review
3.0,73,Yes,9.0,6,55.0,review
4.0,87,Yes,8.0,4,73.0,excellent
3.0,50,No,8.0,4,30.0,review
4.0,96,No,7.0,9,80.0,review
1.0,52,No,,8,24.0,excellent
8.0,72,Yes,7.0,8,66.0,excellent
4.0,96,No,6.0,1,77.0,review
,94,Yes,6.0,6,86.0,excellent
2.0,41,No,4.0,9,13.0,review
2.0,73,Yes,8.0,0,52.0,excellent
,92,Yes,5.0,3,80.0,excellent
2.0,68,Yes,5.0,1,44.0,excellent
6.0,76,No,7.0,9,68.0,review
2.0,43,Yes,9.0,8,23.0,excellent
4.0,51,Yes,9.0,5,36.0,excellent
7.0,65,Yes,7.0,3,58.0,review
8.0,97,No,9.0,2,91.0,review
,67,Yes,5.0,3,48.0,excellent
9.0,42,Yes,7.0,1,40.0,excellent
2.0,59,Yes,9.0,4,33.0,review
8.0,49,Yes,4.0,8,46.0,excellent
8.0,91,No,8.0,5,87.0,review
4.0,57,Yes,4.0,1,39.0,review
1.0,92,No,9.0,5,70.0,excellent
1.0,92,No,,8,67.0,review
2.0,92,Yes,5.0,3,68.0,review
9.0,66,No,4.0,0,61.0,review
2.0,70,No,4.0,1,51.0,excellent
2.0,66,No,7.0,4,43.0,review
6.0,81,Yes,7.0,9,70.0,excellent
7.0,40,No,7.0,6,34.0,review
7.0,45,No,9.0,7,33.0,excellent
9.0,50,Yes,6.0,2,46.0,review
6.0,73,Yes,4.0,8,60.0,excellent
8.0,78,No,8.0,1,73.0,excellent
6.0,59,No,7.0,3,47.0,review
2.0,92,No,6.0,3,67.0,review
1.0,60,Yes,9.0,5,37.0,review
5.0,60,No,6.0,9,44.0,review
9.0,57,Yes,7.0,5,55.0,review
8.0,60,No,5.0,2,52.0,excellent
,58,No,4.0,8,42.0,excellent
,43,Yes,7.0,4,28.0,review
5.0,52,No,8.0,1,31.0,review
6.0,57,Yes,4.0,5,42.0,review
3.0,91,No,6.0,2,71.0,review
,68,Yes,8.0,7,54.0,excellent
,64,Yes,4.0,2,42.0,excellent
1.0,95,No,8.0,4,68.0,review
1.0,52,Yes,6.0,3,27.0,review
7.0,66,No,7.0,3,59.0,excellent
2.0,99,Yes,8.0,1,77.0,review
4.0,58,Yes,7.0,7,43.0,review
,88,Yes,6.0,2,73.0,excellent
7.0,40,No,6.0,3,31.0,excellent
,77,Yes,8.0,5,55.0,review
6.0,58,Yes,8.0,8,49.0,excellent
1.0,91,Yes,6.0,3,65.0,review
7.0,40,No,8.0,2,30.0,excellent
9.0,79,No,8.0,4,75.0,review
5.0,56,Yes,8.0,8,43.0,excellent
5.0,60,Yes,9.0,0,49.0,excellent
4.0,61,No,8.0,4,44.0,review
3.0,54,Yes,4.0,3,35.0,excellent
9.0,89,Yes,6.0,4,88.0,excellent
5.0,78,Yes,6.0,6,65.0,review
8.0,87,Yes,5.0,6,82.0,excellent
9.0,78,Yes,,6,76.0,excellent
5.0,71,Yes,5.0,0,54.0,excellent
9.0,88,No,8.0,8,90.0,review
2.0,43,Yes,,6,23.0,review
9.0,83,Yes,4.0,3,79.0,review
4.0,84,No,4.0,3,65.0,review
6.0,71,No,4.0,1,59.0,excellent
6.0,43,No,4.0,5,28.0,review
6.0,92,No,4.0,9,79.0,review
2.0,40,Yes,4.0,2,11.0,review
7.0,72,No,4.0,0,61.0,review
,46,Yes,4.0,4,36.0,excellent
1.0,48,No,9.0,5,22.0,excellent
,40,No,4.0,4,20.0,review
7.0,55,No,6.0,4,45.0,review
1.0,57,Yes,4.0,9,32.0,review
1.0,93,No,7.0,7,68.0,review
1.0,86,No,4.0,9,55.0,review
8.0,45,No,9.0,0,38.0,excellent
,41,Yes,8.0,7,23.0,review
4.0,48,Yes,9.0,6,33.0,excellent
2.0,43,No,9.0,0,22.0,review
1.0,84,Yes,8.0,8,60.0,review
9.0,62,No,,3,58.0,excellent
7.0,93,Yes,4.0,6,84.0,excellent
4.0,82,No,8.0,2,67.0,excellent
,84,Yes,7.0,7,79.0,excellent
2.0,82,No,5.0,3,61.0,review
7.0,90,Yes,6.0,1,80.0,excellent
,47,Yes,8.0,1,27.0,review
8.0,78,No,,7,72.0,excellent
8.0,64,No,6.0,7,61.0,review
1.0,55,Yes,4.0,0,25.0,review
,74,No,5.0,5,67.0,excellent
2.0,56,No,5.0,8,33.0,review
6.0,57,No,8.0,8,46.0,review
1.0,99,No,6.0,1,73.0,review
5.0,66,Yes,,7,54.0,excellent
7.0,54,No,6.0,7,44.0,excellent
1.0,99,Yes,9.0,3,74.0,excellent
2.0,56,Yes,5.0,3,31.0,excellent
7.0,82,No,4.0,4,73.0,excellent
6.0,44,No,9.0,9,34.0,review
3.0,55,Yes,9.0,6,36.0,review
2.0,54,No,8.0,0,27.0,excellent
4.0,81,No,7.0,8,66.0,review
3.0,85,Yes,5.0,2,66.0,review
7.0,73,Yes,9.0,3,64.0,review
8.0,87,Yes,,6,82.0,excellent
2.0,58,No,8.0,4,34.0,review
7.0,47,No,4.0,4,38.0,excellent
8.0,86,Yes,6.0,0,79.0,excellent
6.0,49,Yes,,1,35.0,excellent
6.0,44,No,8.0,4,33.0,excellent
1.0,91,No,8.0,1,65.0,review
4.0,87,No,,0,69.0,excellent
1.0,92,Yes,6.0,9,66.0,excellent
4.0,65,No,5.0,2,45.0,excellent
2.0,61,No,9.0,0,37.0,excellent
5.0,83,Yes,8.0,9,71.0,review
9.0,62,No,6.0,7,59.0,excellent
3.0,52,Yes,,7,32.0,review
8.0,48,No,7.0,7,40.0,excellent
3.0,88,Yes,5.0,6,73.0,excellent
6.0,59,Yes,6.0,6,48.0,excellent
4.0,67,Yes,7.0,1,52.0,excellent
8.0,83,No,7.0,8,79.0,review
6.0,96,No,6.0,6,85.0,review
8.0,76,No,9.0,4,72.0,excellent
1.0,63,No,,3,39.0,review
,83,Yes,6.0,7,72.0,review
1.0,72,No,6.0,4,51.0,excellent
1.0,59,No,8.0,5,36.0,review
8.0,99,Yes,4.0,3,89.0,excellent
7.0,87,Yes,9.0,1,82.0,review
3.0,69,Yes,8.0,6,51.0,excellent
6.0,83,Yes,7.0,1,75.0,excellent
9.0,48,No,7.0,6,44.0,review
7.0,84,Yes,7.0,6,72.0,review
3.0,88,No,6.0,0,66.0,review
6.0,56,No,5.0,9,41.0,excellent
4.0,75,Yes,8.0,9,59.0,review
3.0,53,Yes,5.0,2,31.0,review
,58,Yes,4.0,2,54.0,excellent
2.0,46,Yes,4.0,5,23.0,review
1.0,98,Yes,8.0,2,75.0,excellent
2.0,42,No,7.0,8,21.0,excellent
7.0,72,Yes,9.0,4,69.0,excellent
1.0,83,No,4.0,5,56.0,excellent
6.0,71,Yes,5.0,5,60.0,review
7.0,86,No,5.0,7,79.0,excellent
9.0,50,No,9.0,9,47.0,excellent
8.0,81,No,6.0,2,72.0,review
6.0,41,Yes,7.0,8,31.0,review
3.0,65,Yes,6.0,6,45.0,excellent
8.0,43,Yes,8.0,5,40.0,review
7.0,56,No,4.0,0,46.0,excellent
3.0,56,No,9.0,3,38.0,review
9.0,67,Yes,9.0,4,64.0,review
2.0,69,Yes,9.0,1,46.0,excellent
,79,No,6.0,0,58.0,review
,62,No,6.0,1,37.0,excellent
1.0,85,Yes,8.0,7,62.0,review
4.0,63,Yes,5.0,9,49.0,review
5.0,68,Yes,5.0,5,53.0,excellent
6.0,43,No,8.0,9,30.0,excellent
5.0,77,No,9.0,1,59.0,excellent
1.0,68,Yes,5.0,8,40.0,excellent
3.0,58,Yes,8.0,7,37.0,excellent
1.0,66,Yes,5.0,3,41.0,excellent
5.0,68,Yes,8.0,9,56.0,review
5.0,95,Yes,5.0,6,81.0,excellent
6.0,75,No,9.0,2,66.0,review
8.0,74,Yes,6.0,5,71.0,review
1.0,91,No,6.0,2,64.0,review
4.0,45,No,9.0,9,31.0,review
1.0,98,No,5.0,2,72.0,excellent
9.0,62,No,9.0,8,57.0,review
,78,No,8.0,5,67.0,review
7.0,85,No,6.0,7,76.0,review
,83,No,4.0,3,68.0,review
7.0,87,No,5.0,3,78.0,excellent
2.0,91,Yes,4.0,7,68.0,review
4.0,47,Yes,4.0,6,25.0,review
7.0,94,Yes,,4,86.0,review
,41,Yes,4.0,1,15.0,review
2.0,52,Yes,,5,28.0,excellent
2.0,79,No,9.0,0,58.0,review
1.0,96,No,7.0,6,72.0,review
5.0,60,No,7.0,8,45.0,review
6.0,70,No,7.0,4,59.0,review
,91,No,8.0,4,78.0,excellent
9.0,87,Yes,7.0,6,84.0,review
4.0,75,Yes,9.0,4,56.0,excellent
1.0,87,No,8.0,9,62.0,excellent
6.0,91,Yes,5.0,3,78.0,review
5.0,77,Yes,8.0,0,62.0,excellent
6.0,66,Yes,5.0,5,54.0,excellent
3.0,75,Yes,7.0,8,57.0,excellent
2.0,87,Yes,7.0,3,61.0,review
6.0,62,No,5.0,9,49.0,excellent
1.0,94,Yes,6.0,3,71.0,review
7.0,60,Yes,9.0,4,55.0,review
7.0,52,No,8.0,5,44.0,excellent
7.0,76,No,,2,68.0,excellent
1.0,86,No,9.0,8,60.0,review
4.0,65,No,4.0,0,45.0,excellent
7.0,79,No,7.0,5,72.0,excellent
9.0,46,No,8.0,5,41.0,review
,85,No,9.0,7,73.0,review
2.0,78,No,8.0,4,57.0,review
7.0,61,Yes,9.0,8,55.0,excellent
1.0,78,No,7.0,8,53.0,excellent
7.0,62,No,9.0,1,53.0,review
6.0,97,Yes,5.0,4,87.0,excellent
7.0,69,No,7.0,6,61.0,excellent
3.0,57,No,8.0,1,38.0,excellent
3.0,81,No,6.0,6,60.0,review
7.0,57,No,9.0,8,49.0,excellent
,85,Yes,5.0,7,64.0,excellent
1.0,49,Yes,7.0,9,23.0,review
,78,No,4.0,8,72.0,review
9.0,69,Yes,7.0,3,71.0,excellent
7.0,65,Yes,8.0,7,59.0,review
7.0,46,Yes,8.0,8,38.0,excellent
3.0,46,Yes,4.0,9,24.0,review
2.0,44,Yes,5.0,1,18.0,review
7.0,40,Yes,8.0,9,33.0,review
9.0,85,No,5.0,2,81.0,review
1.0,57,No,5.0,0,30.0,review
4.0,52,Yes,7.0,0,32.0,excellent
6.0,64,Yes,5.0,9,50.0,review
7.0,79,Yes,9.0,5,73.0,excellent
7.0,47,No,8.0,0,38.0,excellent
2.0,49,No,8.0,4,28.0,review
4.0,71,No,6.0,5,57.0,review
5.0,56,No,5.0,8,41.0,excellent
1.0,77,No,6.0,5,52.0,review
1.0,54,No,7.0,3,26.0,review
3.0,54,Yes,6.0,0,28.0,excellent
3.0,96,No,5.0,5,74.0,review
8.0,87,No,8.0,6,81.0,review
9.0,79,No,7.0,4,81.0,excellent
1.0,90,Yes,5.0,5,61.0,excellent
2.0,59,No,,9,38.0,review
2.0,54,Yes,4.0,7,29.0,excellent
4.0,74,Yes,5.0,0,57.0,excellent
2.0,45,No,4.0,7,21.0,excellent
,69,No,6.0,1,57.0,review
9.0,96,No,5.0,1,94.0,excellent
7.0,47,Yes,4.0,7,39.0,review
6.0,70,No,9.0,1,59.0,excellent
1.0,87,Yes,8.0,7,64.0,review
9.0,86,Yes,6.0,4,83.0,excellent
5.0,71,No,5.0,8,53.0,review
5.0,84,No,5.0,8,70.0,review
6.0,97,No,8.0,7,92.0,excellent
9.0,91,Yes,8.0,8,92.0,review
8.0,54,No,4.0,6,47.0,review
8.0,57,Yes,4.0,7,51.0,excellent
8.0,52,No,4.0,5,45.0,excellent
1.0,63,Yes,7.0,8,34.0,review
1.0,79,No,6.0,1,50.0,review
8.0,53,No,5.0,2,45.0,excellent
5.0,67,Yes,6.0,1,54.0,excellent
9.0,50,Yes,8.0,5,52.0,review
2.0,45,No,9.0,2,20.0,excellent
9.0,95,Yes,,0,93.0,excellent
8.0,64,Yes,6.0,3,53.0,review
9.0,40,Yes,4.0,4,35.0,review
4.0,64,Yes,8.0,3,48.0,review
1.0,41,No,6.0,5,18.0,excellent
,71,Yes,5.0,2,43.0,review
5.0,52,No,4.0,9,36.0,review
,72,No,6.0,5,51.0,excellent
8.0,71,No,8.0,9,65.0,review
5.0,95,Yes,9.0,0,81.0,excellent
5.0,63,No,5.0,5,45.0,review
2.0,66,No,9.0,7,46.0,excellent
7.0,43,No,8.0,9,32.0,review
8.0,63,No,8.0,7,60.0,review
1.0,62,No,8.0,0,33.0,excellent
2.0,68,Yes,9.0,6,45.0,excellent
4.0,73,No,7.0,9,54.0,excellent
5.0,60,Yes,5.0,9,46.0,excellent
2.0,69,No,8.0,3,49.0,excellent
1.0,65,No,7.0,5,38.0,excellent
9.0,59,Yes,4.0,5,53.0,excellent
1.0,55,Yes,7.0,4,30.0,excellent
4.0,42,No,,9,24.0,excellent
2.0,88,No,9.0,8,69.0,excellent
4.0,76,No,7.0,9,57.0,review
,97,No,9.0,7,94.0,review
8.0,79,No,8.0,5,77.0,review
,83,Yes,7.0,3,79.0,excellent
5.0,64,No,,3,50.0,excellent
7.0,62,No,8.0,8,52.0,excellent
3.0,83,Yes,4.0,3,64.0,review
4.0,98,Yes,8.0,6,86.0,review
9.0,40,No,5.0,5,33.0,excellent
1.0,72,Yes,7.0,1,47.0,excellent
2.0,54,Yes,5.0,4,31.0,review
5.0,56,Yes,8.0,2,42.0,excellent
3.0,73,No,9.0,8,54.0,review
2.0,56,No,8.0,9,33.0,review
1.0,91,No,6.0,0,61.0,excellent
3.0,97,Yes,5.0,9,78.0,excellent
1.0,80,No,6.0,3,55.0,excellent
1.0,83,No,5.0,3,59.0,review
1.0,43,Yes,9.0,8,20.0,review
8.0,52,No,6.0,0,43.0,review
3.0,43,Yes,6.0,1,19.0,review
,46,Yes,5.0,0,17.0,excellent
7.0,85,Yes,8.0,0,73.0,review
3.0,98,Yes,4.0,0,72.0,review
8.0,48,No,8.0,2,39.0,review
4.0,62,No,4.0,3,44.0,excellent
4.0,72,No,5.0,9,52.0,excellent
,72,Yes,7.0,1,58.0,excellent
6.0,59,No,8.0,0,45.0,review
7.0,43,No,6.0,4,36.0,review
4.0,40,Yes,8.0,5,22.0,review
8.0,93,Yes,5.0,1,86.0,review
6.0,81,No,7.0,2,68.0,review
1.0,73,Yes,7.0,9,47.0,review
1.0,66,No,8.0,2,40.0,excellent
9.0,60,Yes,8.0,1,58.0,excellent
,63,Yes,9.0,3,53.0,review
8.0,54,No,8.0,4,46.0,excellent
7.0,74,Yes,5.0,7,66.0,review
6.0,64,Yes,4.0,5,49.0,excellent
4.0,94,Yes,9.0,8,77.0,excellent
,48,No,4.0,2,36.0,excellent
9.0,56,No,6.0,9,55.0,review
7.0,60,No,5.0,8,49.0,review
1.0,99,Yes,9.0,3,76.0,review
9.0,52,Yes,,7,45.0,review
4.0,42,Yes,9.0,9,28.0,excellent
3.0,43,Yes,6.0,6,25.0,excellent
,43,No,7.0,6,27.0,excellent
4.0,82,No,9.0,8,67.0,excellent
2.0,67,Yes,7.0,9,44.0,excellent
1.0,46,No,8.0,1,18.0,review
1.0,65,No,7.0,4,37.0,review
8.0,50,No,9.0,2,43.0,excellent
2.0,63,Yes,7.0,6,43.0,review
5.0,82,No,5.0,2,66.0,review
4.0,49,No,8.0,4,34.0,review
8.0,76,No,8.0,4,77.0,excellent
2.0,52,No,6.0,1,31.0,excellent
9.0,83,No,8.0,0,80.0,review
,81,Yes,4.0,5,71.0,excellent
7.0,78,No,5.0,0,69.0,excellent
1.0,58,No,6.0,8,34.0,excellent
2.0,90,Yes,4.0,9,69.0,excellent
4.0,58,No,7.0,4,44.0,excellent
4.0,51,Yes,4.0,0,30.0,excellent
,91,Yes,6.0,7,73.0,review
7.0,61,Yes,8.0,0,52.0,review
8.0,86,Yes,5.0,3,81.0,review
2.0,76,No,6.0,6,52.0,review
4.0,95,No,4.0,3,77.0,review
3.0,69,Yes,4.0,4,44.0,review
2.0,85,No,6.0,6,62.0,review
6.0,51,Yes,9.0,3,44.0,review
4.0,68,No,9.0,4,51.0,review
6.0,60,No,6.0,6,48.0,excellent
2.0,50,Yes,9.0,0,30.0,excellent
4.0,99,No,6.0,2,82.0,excellent
6.0,76,Yes,8.0,0,61.0,review
5.0,87,No,6.0,2,72.0,review
,97,No,7.0,1,78.0,review
8.0,57,No,5.0,4,53.0,review
7.0,83,Yes,5.0,9,78.0,excellent
3.0,98,Yes,7.0,4,79.0,review
6.0,66,Yes,4.0,9,56.0,excellent
,76,No,4.0,8,58.0,excellent
5.0,87,Yes,4.0,7,72.0,review
5.0,51,Yes,4.0,2,37.0,excellent
7.0,62,Yes,8.0,0,56.0,review
5.0,73,No,7.0,4,59.0,review
3.0,77,No,5.0,2,54.0,excellent
,62,No,,4,47.0,excellent
7.0,92,No,5.0,8,84.0,excellent
5.0,64,Yes,4.0,0,50.0,excellent
,43,No,8.0,0,27.0,review
,69,Yes,6.0,8,67.0,review
3.0,69,No,6.0,2,48.0,review
6.0,52,Yes,9.0,9,42.0,review
1.0,81,Yes,4.0,4,55.0,review
5.0,88,No,4.0,8,73.0,excellent
8.0,53,Yes,7.0,4,46.0,excellent
5.0,95,Yes,8.0,2,81.0,excellent
,86,Yes,8.0,8,82.0,excellent
6.0,47,Yes,7.0,6,35.0,review
8.0,94,No,8.0,6,92.0,excellent
8.0,63,No,8.0,7,59.0,review
3.0,57,Yes,,4,35.0,review
7.0,74,No,8.0,1,65.0,excellent
7.0,64,Yes,4.0,8,53.0,review
6.0,56,Yes,6.0,2,45.0,excellent
7.0,71,No,4.0,1,61.0,excellent
2.0,95,Yes,4.0,9,74.0,excellent
9.0,63,No,7.0,9,60.0,excellent
1.0,46,Yes,9.0,4,23.0,excellent
1.0,52,No,8.0,7,25.0,review
3.0,66,No,8.0,2,45.0,review
3.0,87,Yes,8.0,5,68.0,review
1.0,44,No,8.0,8,21.0,review
7.0,75,Yes,6.0,1,65.0,excellent
4.0,65,No,5.0,7,45.0,review
2.0,81,Yes,4.0,9,58.0,excellent
5.0,84,No,9.0,6,76.0,excellent
6.0,70,No,9.0,2,57.0,review
9.0,49,No,,0,46.0,review
,85,Yes,5.0,5,68.0,review
2.0,65,No,5.0,1,40.0,review
5.0,61,Yes,6.0,2,45.0,excellent
3.0,51,No,5.0,4,31.0,review
2.0,71,No,6.0,7,50.0,excellent
1.0,66,Yes,7.0,1,43.0,review
2.0,72,No,7.0,5,50.0,excellent
,92,Yes,9.0,0,80.0,excellent
8.0,91,Yes,7.0,6,90.0,review
3.0,59,Yes,6.0,3,38.0,review
9.0,78,Yes,6.0,0,73.0,excellent
9.0,80,Yes,4.0,8,78.0,excellent
2.0,79,No,5.0,8,54.0,review
8.0,98,Yes,,2,92.0,review
5.0,52,No,,5,39.0,review
4.0,53,Yes,5.0,6,41.0,review
5.0,83,Yes,8.0,3,71.0,review
4.0,79,No,8.0,5,65.0,review
8.0,92,No,8.0,8,87.0,excellent
4.0,61,Yes,9.0,9,47.0,review
6.0,57,Yes,6.0,5,42.0,review
2.0,87,No,6.0,6,62.0,review
5.0,68,No,6.0,5,54.0,excellent
6.0,82,Yes,5.0,6,71.0,review
5.0,55,Yes,7.0,0,42.0,excellent
2.0,85,Yes,9.0,5,64.0,excellent
7.0,74,No,9.0,8,70.0,review
4.0,92,Yes,8.0,2,77.0,review
8.0,73,No,4.0,5,62.0,excellent
7.0,42,No,6.0,3,28.0,excellent
7.0,43,Yes,9.0,6,36.0,excellent
9.0,93,Yes,9.0,6,92.0,excellent
1.0,44,No,4.0,8,18.0,excellent
6.0,49,Yes,8.0,3,37.0,review
6.0,91,Yes,9.0,7,81.0,excellent
6.0,68,No,,7,57.0,excellent
6.0,71,Yes,7.0,7,61.0,review
7.0,70,No,4.0,7,62.0,excellent
6.0,41,No,8.0,5,27.0,excellent
1.0,51,Yes,,7,26.0,review
3.0,66,No,6.0,5,48.0,review
2.0,44,No,7.0,9,18.0,review
6.0,76,Yes,8.0,1,66.0,review
8.0,66,No,7.0,2,59.0,review
3.0,62,Yes,6.0,5,41.0,review
8.0,72,No,4.0,6,64.0,review
8.0,43,No,,3,40.0,review
5.0,98,No,9.0,0,84.0,excellent
8.0,60,No,,3,51.0,review
6.0,63,No,5.0,5,49.0,review
,83,No,5.0,7,67.0,review
9.0,70,No,9.0,3,70.0,excellent
7.0,83,Yes,7.0,9,75.0,review
8.0,87,No,5.0,0,80.0,review
1.0,63,Yes,4.0,4,35.0,review
2.0,88,No,8.0,6,65.0,excellent
8.0,92,No,7.0,5,86.0,excellent
9.0,49,Yes,9.0,2,45.0,review
4.0,88,Yes,4.0,6,69.0,review
,88,Yes,9.0,3,86.0,review
4.0,89,No,7.0,4,75.0,review
9.0,41,Yes,7.0,6,39.0,excellent
7.0,70,No,7.0,1,59.0,review
2.0,64,No,6.0,3,42.0,excellent
9.0,43,Yes,8.0,3,42.0,review
4.0,90,No,5.0,5,70.0,excellent
8.0,50,Yes,6.0,6,48.0,review
7.0,56,Yes,8.0,3,49.0,review
7.0,83,Yes,9.0,9,78.0,excellent
8.0,41,Yes,5.0,0,34.0,review
,45,No,6.0,0,18.0,excellent
5.0,48,No,6.0,4,33.0,excellent
2.0,44,Yes,4.0,0,20.0,review
2.0,59,Yes,6.0,2,35.0,excellent
1.0,68,No,7.0,8,46.0,review
5.0,60,No,9.0,2,42.0,review
2.0,48,Yes,6.0,2,23.0,excellent
4.0,67,No,7.0,8,51.0,excellent
3.0,94,No,8.0,4,75.0,review
3.0,47,No,8.0,7,27.0,excellent
2.0,70,No,7.0,9,48.0,excellent
6.0,59,Yes,,8,45.0,review
2.0,66,No,4.0,5,40.0,excellent
8.0,47,Yes,8.0,6,42.0,excellent
8.0,93,Yes,9.0,6,90.0,excellent
5.0,60,Yes,6.0,6,45.0,review
7.0,67,No,8.0,3,55.0,excellent
4.0,62,No,8.0,1,45.0,review
1.0,45,Yes,7.0,1,20.0,excellent
2.0,42,No,4.0,6,15.0,excellent
4.0,44,Yes,9.0,9,28.0,review
1.0,48,Yes,,6,25.0,review
8.0,46,No,8.0,9,39.0,excellent
9.0,99,No,5.0,6,96.0,excellent
4.0,43,No,6.0,7,24.0,review
3.0,78,Yes,8.0,2,63.0,review
2.0,44,Yes,7.0,4,19.0,excellent
5.0,50,No,5.0,5,31.0,review
3.0,54,Yes,5.0,7,35.0,review
,73,Yes,8.0,7,65.0,excellent
6.0,52,Yes,9.0,9,41.0,review
1.0,93,No,4.0,2,65.0,review
8.0,87,No,5.0,3,83.0,review
2.0,46,No,6.0,5,22.0,excellent
5.0,79,Yes,7.0,3,68.0,review
9.0,45,No,7.0,9,40.0,excellent
,95,Yes,7.0,3,92.0,excellent
2.0,78,Yes,8.0,4,54.0,review
9.0,89,Yes,7.0,9,90.0,excellent
5.0,69,No,7.0,6,57.0,review
6.0,61,Yes,,1,47.0,excellent
3.0,64,No,4.0,1,43.0,review
3.0,67,Yes,9.0,9,50.0,excellent
8.0,93,No,8.0,8,91.0,review
2.0,59,No,8.0,3,34.0,review
2.0,78,No,7.0,4,54.0,excellent
,42,No,6.0,2,26.0,review
6.0,44,No,5.0,1,34.0,excellent
2.0,40,No,7.0,9,18.0,review
5.0,54,No,7.0,7,38.0,review
7.0,65,No,8.0,3,57.0,excellent
8.0,42,Yes,8.0,0,34.0,review
7.0,79,Yes,7.0,5,68.0,excellent
8.0,96,Yes,8.0,5,92.0,review
9.0,80,Yes,6.0,1,77.0,review
5.0,86,Yes,5.0,1,71.0,excellent
5.0,81,No,5.0,7,67.0,review
4.0,73,No,5.0,6,59.0,review
9.0,91,No,7.0,1,91.0,excellent
5.0,44,No,9.0,9,29.0,review
2.0,70,No,7.0,0,48.0,review
8.0,90,Yes,7.0,7,90.0,excellent
7.0,52,Yes,6.0,9,48.0,excellent
8.0,82,No,5.0,1,77.0,review
3.0,40,Yes,8.0,4,20.0,excellent
4.0,61,Yes,8.0,5,42.0,excellent
5.0,54,No,4.0,9,37.0,excellent
,65,No,4.0,0,52.0,review
1.0,57,Yes,9.0,1,33.0,excellent
4.0,87,Yes,8.0,9,72.0,review
5.0,48,No,5.0,3,34.0,excellent
7.0,40,Yes,7.0,1,33.0,excellent
5.0,82,No,8.0,5,71.0,excellent
1.0,48,Yes,9.0,3,25.0,excellent
7.0,62,Yes,9.0,2,55.0,review
8.0,82,No,8.0,5,76.0,review
,84,Yes,4.0,8,76.0,excellent
,97,No,5.0,7,81.0,review
8.0,41,Yes,8.0,1,35.0,excellent
5.0,53,Yes,7.0,2,35.0,review
9.0,77,No,7.0,1,74.0,excellent
5.0,79,Yes,6.0,9,66.0,excellent
1.0,57,No,7.0,6,31.0,review
9.0,55,No,8.0,8,54.0,review
5.0,92,Yes,8.0,0,79.0,excellent
6.0,68,No,7.0,2,58.0,review
4.0,83,No,4.0,5,66.0,excellent
6.0,50,No,5.0,3,36.0,excellent
8.0,45,Yes,9.0,9,44.0,review
,42,No,8.0,9,26.0,excellent
5.0,53,No,7.0,0,37.0,review
2.0,99,Yes,9.0,8,82.0,review
2.0,41,No,7.0,6,18.0,review
7.0,71,No,8.0,6,66.0,excellent
6.0,70,No,6.0,0,60.0,excellent
4.0,50,Yes,5.0,8,32.0,review
5.0,61,Yes,8.0,7,51.0,review
1.0,42,Yes,9.0,9,18.0,review
7.0,89,Yes,7.0,4,82.0,excellent
8.0,70,Yes,6.0,3,66.0,review
9.0,72,Yes,8.0,0,69.0,excellent
8.0,63,No,5.0,8,59.0,review
5.0,40,Yes,6.0,7,26.0,excellent
3.0,83,Yes,9.0,1,63.0,excellent
,54,Yes,7.0,3,52.0,excellent
,76,Yes,4.0,3,66.0,review
5.0,66,No,,6,51.0,excellent
3.0,77,No,6.0,2,54.0,excellent
6.0,87,Yes,8.0,7,77.0,excellent
3.0,66,No,8.0,6,45.0,review
6.0,83,Yes,6.0,9,77.0,excellent
4.0,51,No,8.0,3,32.0,review
2.0,42,Yes,6.0,8,15.0,review
8.0,69,Yes,5.0,5,62.0,review
4.0,71,Yes,8.0,2,55.0,excellent
9.0,62,Yes,5.0,6,59.0,excellent
7.0,41,No,7.0,5,32.0,review
2.0,46,Yes,7.0,7,21.0,review
4.0,73,No,7.0,4,56.0,excellent
,71,No,7.0,5,55.0,review
,92,No,,0,74.0,excellent
9.0,78,Yes,6.0,7,74.0,excellent
5.0,71,No,8.0,0,56.0,review
2.0,82,No,9.0,2,58.0,review
,82,No,8.0,1,64.0,excellent
9.0,53,Yes,5.0,5,49.0,review
7.0,42,No,6.0,7,31.0,review
2.0,85,Yes,4.0,7,64.0,review
9.0,71,No,4.0,6,63.0,review
4.0,82,No,6.0,6,66.0,excellent
9.0,75,Yes,4.0,7,73.0,excellent
2.0,56,Yes,6.0,4,38.0,excellent
4.0,87,No,5.0,2,70.0,review
5.0,42,Yes,,1,27.0,review
2.0,96,No,8.0,2,72.0,excellent
1.0,49,No,4.0,2,21.0,excellent
